1|鴨仔聽雷。|Ah-á thiann luî.|slang|指鴨子聽到雷聲，並不知道是怎麼回事。比喻一個人對所接收的訊息無法理解。比喻一個人對所接收的訊息無法理解。|https://sutian.moe.edu.tw//zh-hant/su/27204/
2|愛拚才會贏。|Ài piànn tsiah ē iânn.|slang|要努力才會贏。比喻唯有努力奮鬥，才能克服困難，成就一番事業。|https://sutian.moe.edu.tw//zh-hant/su/27161/
3|愛媠毋驚流鼻水。|Ài-suí m̄ kiann lâu phīnn-tsuí.|slang|為了展示自己姣好的身材，天氣再冷，寧可挨寒受凍，也不願多穿衣服。常用以揶揄女性愛美，寧可付出代價，也在所不惜。|https://sutian.moe.edu.tw//zh-hant/su/27162/
4|暗頓減食一口，活甲九十九。|Àm-tǹg kiám tsia̍h tsi̍t kháu, ua̍h kah káu-tsa̍p-káu.|slang|晚餐少吃一口，活到九十九。說明晚餐的食用量少一點，有益身體健康。|https://sutian.moe.edu.tw//zh-hant/su/27164/
5|翁仔某是相欠債。|Ang-á-bóo sī sio-khiàm-tsè.|slang|今世有緣結為夫妻，乃因前世因果，互相欠債所致。夫妻意見不合相互爭吵時，常用這句話來勸雙方姻緣前定，應以和為貴。|https://sutian.moe.edu.tw//zh-hant/su/27093/
6|翁某若仝心，烏塗變成金。|Ang-bóo nā kāng-sim, oo-thôo piàn-sîng kim.|slang|夫妻若同心協力，沒有價值的黑土都能變成高價值的東西。比喻夫妻和諧，一起努力，任何事都可成就。|https://sutian.moe.edu.tw//zh-hant/su/27094/
7|尪姨順話尾，假童害眾人。|Ang-î sūn uē-bué, ké tâng hāi tsìng-lâng.|slang|靈媒會順著對方的心意說話，假冒之乩童故意裝神弄鬼來欺騙人。此指靈媒、乩童借揣摩情況來決定說話的內容，而人也因輕信巫術鬼神而身受其害。|https://sutian.moe.edu.tw//zh-hant/su/27026/
8|翁親某親，老婆仔拋捙輪。|Ang tshin bóo tshin, lāu-pô-á pha-tshia-lin.|slang|夫妻恩愛，老婆婆翻筋斗也不管。「老婆仔」是指年邁的母親，「拋捙輪」是翻筋斗，這裡指老母親跌倒了在地上打滾，子女卻置之腦後、棄之不顧。整句比喻夫妻二人恩恩愛愛，置年邁雙親於不顧。|https://sutian.moe.edu.tw//zh-hant/su/27095/
9|紅媠，烏大範。|Âng suí, oo tuā-pān.|slang|紅色美麗，黑色大方。形容人衣著色彩，紅色顯得鮮豔亮麗，黑色呈現高貴大方，有氣質、有風味。也可指衣服之外的東西。|https://sutian.moe.edu.tw//zh-hant/su/27061/
10|䆀猴𠢕欠數。|Bái-kâu gâu khiàm-siàu.|slang|難纏的客人愛賒帳。形容人外型不佳又愛賒帳。|https://sutian.moe.edu.tw//zh-hant/su/27217/
11|目睭花花，匏仔看做菜瓜。|Ba̍k-tsiu hue-hue, pû-á khuànn-tsò tshài-kue.|slang|眼睛看不清楚，瓠瓜看成絲瓜。嘲笑別人一時恍神，把形狀相近的物品看成別的東西。|https://sutian.moe.edu.tw//zh-hant/su/26983/
12|目睭看懸，無看低。|Ba̍k-tsiu khuànn-kuân, bô khuànn-kē.|slang|眼睛長在頭頂上，看上不看下。形容人走路不看路。引申為人勢利，看不起身分較低的人。|https://sutian.moe.edu.tw//zh-hant/su/26986/
13|目睭看佇粿，跤踏著火。|Ba̍k-tsiu khuànn tī kué, kha ta̍h-tio̍h hué.|slang|眼睛看著糕品，腳踩到火。用來勸人做事不要只顧當前的好處，而忘了週遭的危險，以免身陷險境而不知。|https://sutian.moe.edu.tw//zh-hant/su/26985/
14|目睭金金人傷重。|Ba̍k-tsiu kim-kim lâng siong-tiōng.|slang|眼睛睜大，病情嚴重。形容人病得很嚴重，只能張大眼睛，無法動彈；也用來比喻遇到事情束手無策，只能乾瞪眼而沒辦法處理。|https://sutian.moe.edu.tw//zh-hant/su/26984/
15|目睭掛斗概，看人物就愛。|Ba̍k-tsiu kuà táu-kài, khuànn lâng mi̍h tō ài.|slang|眼睛掛著平斗的木概，看到別人的東西就想要。用來形容人過於貪心。以前用「斗」來測量穀物豆類等東西的份量，斗概是一長形木條，用來把斗口高出的部分撥平以得到準確的量。販售商人的習慣是只往內撥、不往外撥，有招財之意。所以用眼睛掛著斗概，來比喻想把別人的東西納為己有的貪婪心態。|https://sutian.moe.edu.tw//zh-hant/su/26987/
16|慢牛厚屎尿。|Bān gû kāu-sái-jiō.|slang|行動遲緩的牛屎尿多。比喻懶惰的人做事不乾脆，常找藉口逃避或延遲該盡的責任。|https://sutian.moe.edu.tw//zh-hant/su/27183/
17|萬事起頭難。|Bān-sū khí-thâu lân.|slang|一切事情開頭階段都很困難。意指事情剛開始的時候，都比較困難，只要不放棄，繼續做，久了就會順手、熟練。|https://sutian.moe.edu.tw//zh-hant/su/27169/
18|買賣算分，相請無論。|Bé-bē sǹg hun, sio-tshiánn bô lūn.|slang|做生意就得把帳目算個清楚，至於請客吃飯，則無需計較。說明生意與交情的界線理應分明。|https://sutian.moe.edu.tw//zh-hant/su/27152/
19|買田愛揀好田底，娶某愛揀好娘嬭。|Bé tshân ài kíng hó tshân té, tshuā-bóo ài kíng hó niû-lé.|slang|買田地，要慎選土質好的田地；娶老婆，要先觀察女方母親之行為舉止。意即有其母必有其女，用來說明選妻子時對方家教的重要。|https://sutian.moe.edu.tw//zh-hant/su/27150/
20|買厝，買厝邊。|Bé tshù, bé tshù-pinn.|slang|買房子要慎選好鄰居。強調選擇住家時，鄰居的好壞至關重要。|https://sutian.moe.edu.tw//zh-hant/su/27151/
21|袂曉剃頭，拄著鬍鬚。|Bē-hiáu thì-thâu, tú-tio̍h hôo-tshiu.|slang|不會理髮，遇到大鬍子。理髮師技術還不夠純熟，首次上場就遇到一個大鬍子的客人，以致於手忙腳亂，不知道該如何是好。比喻在經驗不足的情況下，偏偏碰上了棘手的難題。|https://sutian.moe.edu.tw//zh-hant/su/27098/
22|賣茶講茶芳，賣花講花紅。|Bē tê kóng tê phang, bē hue kóng hue âng.|slang|賣茶葉的人強調自己賣的茶葉有多香；賣花的人強調自己賣的花顏色有多麼的鮮豔。比喻為了要把自己的產品推銷出去，生意人總會強調其產品具有什麼特色，藉此吸引顧客的目光。比喻老王賣瓜，自賣自誇。|https://sutian.moe.edu.tw//zh-hant/su/27194/
23|欲好額等後世，欲做官學做戲。|Beh hó-gia̍h tán āu-sì, beh tsò-kuann o̍h tsò-hì.|slang|如果想發財就等下輩子，如果想當官，去戲班子演戲就能過乾癮。諷刺人此生再無致富與升官的機會，有時也用來自嘲。|https://sutian.moe.edu.tw//zh-hant/su/27115/
24|無米有舂臼，無囝抱新婦。|Bô bí ū tsing-khū, bô kiánn phō sin-pū.|slang|沒有米卻有搗米的臼；沒有兒子領養一個童養媳。形容人只會做白日夢，不切實際。|https://sutian.moe.edu.tw//zh-hant/su/27140/
25|無牛駛馬。|Bô gû sái bé.|slang|沒有牛只能用馬匹來替代。形容退而求其次，暫且代用的無奈。|https://sutian.moe.edu.tw//zh-hant/su/27139/
26|無魚，蝦嘛好。|Bô hî, hê mā hó.|slang|捉不到魚，捉到蝦子也好。比喻退而求其次，聊勝於無。|https://sutian.moe.edu.tw//zh-hant/su/27144/
27|無彼號尻川，想欲食彼號瀉藥。|Bô hit-lō kha-tshng, siūnn-beh tsia̍h hit-lō sià-io̍h.|slang|沒有那種屁股，想吃那種瀉藥。形容人沒有那種能耐，卻妄想做那種事。比喻一個人自不量力。|https://sutian.moe.edu.tw//zh-hant/su/27141/
28|無日毋知晝，無鬚毋知老。|Bô ji̍t m̄ tsai tàu, bô tshiu m̄ tsai lāu.|slang|沒出太陽，不知已經到中午了；沒留鬍子，不易察覺人已老邁。比喻光陰易逝，很容易在不知不覺中荒廢。|https://sutian.moe.edu.tw//zh-hant/su/27137/
29|無枷夯交椅。|Bô kê giâ kau-í.|slang|沒有枷鎖等刑具可披枷帶鎖，竟然將太師椅扛在身上。比喻自找麻煩，庸人自擾。|https://sutian.moe.edu.tw//zh-hant/su/27142/
